     numlons   numlats   numlevs   totpts  slthin quad
      1280       640        60    819200
  lev          asig              bsig  
  149      -48.196697235107422  1280
  150      -47.915668487548828  1280
  151      -47.634639739990234  1280
  152      -47.353607177734375  1280
  153      -47.072578430175781  1280
  154      -46.791545867919922  1280
  155      -46.510517120361328  1280
  156      -46.229484558105469  1280
  157      -45.948459625244141  1280
  158      -45.667427062988281  1280
  159      -45.386394500732422  1280
  160      -45.105365753173828  1280
  161      -44.824337005615234  1280
  162      -44.543308258056641  1280
  163      -44.262271881103516  1280
  164      -43.981246948242188  1280
  165      -43.700214385986328  1280
  166      -43.419185638427734  1280
  167      -43.138153076171875  1280
  168      -42.857124328613281  1280
  169      -42.576095581054688  1280
  170      -42.295066833496094  1280
  171      -42.014034271240234  1280
  172      -41.733001708984375  1280
  173      -41.451976776123047  1280
  174      -41.170944213867188  1280
  175      -40.889911651611328  1280
  176      -40.608882904052734  1280
  177      -40.327854156494141  1280
  178      -40.046821594238281  1280
  179      -39.765789031982422  1280
  180      -39.484760284423828  1280
  181      -39.203731536865234  1280
  182      -38.922702789306641  1280
  183      -38.641666412353516  1280
  184      -38.360637664794922  1280
  185      -38.079608917236328  1280
  186      -37.798580169677734  1280
  187      -37.517551422119141  1280
  188      -37.236518859863281  1280
  189      -36.955486297607422  1280
  190      -36.674457550048828  1280
  191      -36.393428802490234  1280
  192      -36.112396240234375  1280
  193      -35.831367492675781  1280
  194      -35.550338745117188  1280
  195      -35.269306182861328  1280
  196      -34.988277435302734  1280
  197      -34.707244873046875  1280
  198      -34.426216125488281  1280
  199      -34.145187377929688  1280
  200      -33.864154815673828  1280
  201      -33.583126068115234  1280
  202      -33.302089691162109  1280
  203      -33.021064758300781  1280
  204      -32.740032196044922  1280
  205      -32.459003448486328  1280
  206      -32.177970886230469  1280
  207      -31.896944046020508  1280
  208      -31.615909576416016  1280
  209      -31.334884643554688  1280
  210      -31.053852081298828  1280
  211      -30.772821426391602  1280
  212      -30.491790771484375  1280
  213      -30.210762023925781  1280
  214      -29.929729461669922  1280
  215      -29.648698806762695  1280
  216      -29.367670059204102  1280
  217      -29.086639404296875  1280
  218      -28.805606842041016  1280
  219      -28.524580001831055  1280
  220      -28.243547439575195  1280
  221      -27.962518692016602  1280
  222      -27.681488037109375  1280
  223      -27.400457382202148  1280
  224      -27.119428634643555  1280
  225      -26.838397979736328  1280
  226      -26.557367324829102  1280
  227      -26.276336669921875  1280
  228      -25.995306015014648  1280
  229      -25.714275360107422  1280
  230      -25.433246612548828  1280
  231      -25.152214050292969  1280
  232      -24.871185302734375  1280
  233      -24.590154647827148  1280
  234      -24.309123992919922  1280
  235      -24.028093338012695  1280
  236      -23.747064590454102  1280
  237      -23.466033935546875  1280
  238      -23.185003280639648  1280
  239      -22.903972625732422  1280
  240      -22.622941970825195  1280
  241      -22.341913223266602  1280
  242      -22.060880661010742  1280
  243      -21.779851913452148  1280
  244      -21.498821258544922  1280
  245      -21.217790603637695  1280
  246      -20.936759948730469  1280
  247      -20.655729293823242  1280
  248      -20.374698638916016  1280
  249      -20.093669891357422  1280
  250      -19.812639236450195  1280
  251      -19.531610488891602  1280
  252      -19.250579833984375  1280
  253      -18.969547271728516  1280
  254      -18.688518524169922  1280
  255      -18.407485961914062  1280
  256      -18.126457214355469  1280
  257      -17.845426559448242  1280
  258      -17.564397811889648  1280
  259      -17.283365249633789  1280
  260      -17.002336502075195  1280
  261      -16.721305847167969  1280
  262      -16.440275192260742  1280
  263      -16.159244537353516  1280
  264      -15.878212928771973  1280
  265      -15.597183227539062  1280
  266      -15.316153526306152  1280
  267      -15.035121917724609  1280
  268      -14.754092216491699  1280
  269      -14.473062515258789  1280
  270      -14.192032814025879  1280
  271      -13.911001205444336  1280
  272      -13.629971504211426  1280
  273      -13.348941802978516  1280
  274      -13.067911148071289  1280
  275      -12.786880493164062  1280
  276      -12.505849838256836  1280
  277      -12.224820137023926  1280
  278      -11.943789482116699  1280
  279      -11.662758827209473  1280
  280      -11.381728172302246  1280
  281      -11.100698471069336  1280
  282      -10.819667816162109  1280
  283      -10.538638114929199  1280
  284      -10.257607460021973  1280
  285       -9.976577758789062  1280
  286       -9.695547103881836  1280
  287       -9.414516448974609  1280
  288       -9.133486747741699  1280
  289       -8.852456092834473  1280
  290       -8.571425437927246  1280
  291       -8.290394783020020  1280
  292       -8.009364128112793  1280
  293       -7.728334903717041  1280
  294       -7.447304248809814  1280
  295       -7.166274070739746  1280
  296       -6.885242938995361  1280
  297       -6.604213237762451  1280
  298       -6.323182582855225  1280
  299       -6.042152404785156  1280
  300       -5.761122226715088  1280
  301       -5.480092048645020  1280
  302       -5.199061393737793  1280
  303       -4.918030738830566  1280
  304       -4.637000560760498  1280
  305       -4.355970382690430  1280
  306       -4.074939727783203  1280
  307       -3.793909549713135  1280
  308       -3.512879133224487  1280
  309       -3.231848955154419  1280
  310       -2.950818777084351  1280
  311       -2.669788360595703  1280
  312       -2.388757944107056  1280
  313       -2.107727527618408  1280
  314       -1.826697230339050  1280
  315       -1.545666933059692  1280
  316       -1.264636516571045  1280
  317       -0.983606219291687  1280
  318       -0.702575862407684  1280
  319       -0.421545535326004  1280
  320       -0.140515178442001  1280
  321        0.140515178442001  1280
  322        0.421545535326004  1280
  323        0.702575862407684  1280
  324        0.983606219291687  1280
  325        1.264636516571045  1280
  326        1.545666933059692  1280
  327        1.826697230339050  1280
  328        2.107727527618408  1280
  329        2.388757944107056  1280
  330        2.669788360595703  1280
  331        2.950818777084351  1280
  332        3.231848955154419  1280
  333        3.512879133224487  1280
  334        3.793909549713135  1280
  335        4.074939727783203  1280
  336        4.355970382690430  1280
  337        4.637000560760498  1280
  338        4.918030738830566  1280
  339        5.199061393737793  1280
  340        5.480092048645020  1280
  341        5.761122226715088  1280
  342        6.042152404785156  1280
  343        6.323182582855225  1280
  344        6.604213237762451  1280
  345        6.885242938995361  1280
  346        7.166274070739746  1280
  347        7.447304248809814  1280
  348        7.728334903717041  1280
  349        8.009364128112793  1280
  350        8.290394783020020  1280
  351        8.571425437927246  1280
  352        8.852456092834473  1280
  353        9.133486747741699  1280
  354        9.414516448974609  1280
  355        9.695547103881836  1280
  356        9.976577758789062  1280
  357       10.257607460021973  1280
  358       10.538638114929199  1280
  359       10.819667816162109  1280
  360       11.100698471069336  1280
  361       11.381728172302246  1280
  362       11.662758827209473  1280
  363       11.943789482116699  1280
  364       12.224820137023926  1280
  365       12.505849838256836  1280
  366       12.786880493164062  1280
  367       13.067911148071289  1280
  368       13.348941802978516  1280
  369       13.629971504211426  1280
  370       13.911001205444336  1280
  371       14.192032814025879  1280
  372       14.473062515258789  1280
  373       14.754092216491699  1280
  374       15.035121917724609  1280
  375       15.316153526306152  1280
  376       15.597183227539062  1280
  377       15.878212928771973  1280
  378       16.159244537353516  1280
  379       16.440275192260742  1280
  380       16.721305847167969  1280
  381       17.002336502075195  1280
  382       17.283365249633789  1280
  383       17.564397811889648  1280
  384       17.845426559448242  1280
  385       18.126457214355469  1280
  386       18.407485961914062  1280
  387       18.688518524169922  1280
  388       18.969547271728516  1280
  389       19.250579833984375  1280
  390       19.531610488891602  1280
  391       19.812639236450195  1280
  392       20.093669891357422  1280
  393       20.374698638916016  1280
  394       20.655729293823242  1280
  395       20.936759948730469  1280
  396       21.217790603637695  1280
  397       21.498821258544922  1280
  398       21.779851913452148  1280
  399       22.060880661010742  1280
  400       22.341913223266602  1280
  401       22.622941970825195  1280
  402       22.903972625732422  1280
  403       23.185003280639648  1280
  404       23.466033935546875  1280
  405       23.747064590454102  1280
  406       24.028093338012695  1280
  407       24.309123992919922  1280
  408       24.590154647827148  1280
  409       24.871185302734375  1280
  410       25.152214050292969  1280
  411       25.433246612548828  1280
  412       25.714275360107422  1280
  413       25.995306015014648  1280
  414       26.276336669921875  1280
  415       26.557367324829102  1280
  416       26.838397979736328  1280
  417       27.119428634643555  1280
  418       27.400457382202148  1280
  419       27.681488037109375  1280
  420       27.962518692016602  1280
  421       28.243547439575195  1280
  422       28.524580001831055  1280
  423       28.805606842041016  1280
  424       29.086639404296875  1280
  425       29.367670059204102  1280
  426       29.648698806762695  1280
  427       29.929729461669922  1280
  428       30.210762023925781  1280
  429       30.491790771484375  1280
  430       30.772821426391602  1280
  431       31.053852081298828  1280
  432       31.334884643554688  1280
  433       31.615909576416016  1280
  434       31.896944046020508  1280
  435       32.177970886230469  1280
  436       32.459003448486328  1280
  437       32.740032196044922  1280
  438       33.021064758300781  1280
  439       33.302089691162109  1280
  440       33.583126068115234  1280
  441       33.864154815673828  1280
  442       34.145187377929688  1280
  443       34.426216125488281  1280
  444       34.707244873046875  1280
  445       34.988277435302734  1280
  446       35.269306182861328  1280
  447       35.550338745117188  1280
  448       35.831367492675781  1280
  449       36.112396240234375  1280
  450       36.393428802490234  1280
  451       36.674457550048828  1280
  452       36.955486297607422  1280
  453       37.236518859863281  1280
  454       37.517551422119141  1280
  455       37.798580169677734  1280
  456       38.079608917236328  1280
  457       38.360637664794922  1280
  458       38.641666412353516  1280
  459       38.922702789306641  1280
  460       39.203731536865234  1280
  461       39.484760284423828  1280
  462       39.765789031982422  1280
  463       40.046821594238281  1280
  464       40.327854156494141  1280
  465       40.608882904052734  1280
  466       40.889911651611328  1280
  467       41.170944213867188  1280
  468       41.451976776123047  1280
  469       41.733001708984375  1280
  470       42.014034271240234  1280
  471       42.295066833496094  1280
  472       42.576095581054688  1280
  473       42.857124328613281  1280
  474       43.138153076171875  1280
  475       43.419185638427734  1280
  476       43.700214385986328  1280
  477       43.981246948242188  1280
  478       44.262271881103516  1280
  479       44.543308258056641  1280
  480       44.824337005615234  1280
  481       45.105365753173828  1280
  482       45.386394500732422  1280
  483       45.667427062988281  1280
  484       45.948459625244141  1280
  485       46.229484558105469  1280
  486       46.510517120361328  1280
  487       46.791545867919922  1280
  488       47.072578430175781  1280
  489       47.353607177734375  1280
  490       47.634639739990234  1280
  491       47.915668487548828  1280
  492       48.196697235107422  1280
  493       48.477725982666016  1280
  494       48.758758544921875  1280
  495       49.039787292480469  1280
  496       49.320819854736328  1280
  497       49.601848602294922  1280
  498       49.882884979248047  1280
  499       50.163909912109375  1280
  500       50.444942474365234  1280
  501       50.725967407226562  1280
  502       51.006999969482422  1280
  503       51.288036346435547  1280
  504       51.569061279296875  1280
  505       51.850090026855469  1280
  506       52.131122589111328  1280
  507       52.412155151367188  1280
  508       52.693180084228516  1280
  509       52.974208831787109  1280
  510       53.255241394042969  1280
  511       53.536273956298828  1280
  512       53.817306518554688  1280
  513       54.098331451416016  1280
  514       54.379364013671875  1280
  515       54.660392761230469  1280
  516       54.941425323486328  1280
  517       55.222454071044922  1280
  518       55.503479003906250  1280
  519       55.784515380859375  1280
  520       56.065544128417969  1280
  521       56.346576690673828  1280
  522       56.627601623535156  1280
  523       56.908634185791016  1280
  524       57.189662933349609  1280
  525       57.470699310302734  1280
  526       57.751724243164062  1280
  527       58.032752990722656  1280
  528       58.313789367675781  1280
  529       58.594818115234375  1280
  530       58.875843048095703  1280
  531       59.156871795654297  1280
  532       59.437900543212891  1280
  533       59.718936920166016  1280
  534       59.999965667724609  1280
  535       60.280990600585938  1280
  536       60.562026977539062  1280
  537       60.843055725097656  1280
  538       61.124084472656250  1280
  539       61.405117034912109  1280
  540       61.686145782470703  1280
  541       61.967174530029297  1280
  542       62.248210906982422  1280
  543       62.529239654541016  1280
  544       62.810264587402344  1280
  545       63.091293334960938  1280
  546       63.372322082519531  1280
  547       63.653362274169922  1280
  548       63.934383392333984  1280
  549       64.215415954589844  1280
  550       64.496444702148438  1280
  551       64.777473449707031  1280
  552       65.058502197265625  1280
  553       65.339530944824219  1280
  554       65.620567321777344  1280
  555       65.901603698730469  1280
  556       66.182632446289062  1280
  557       66.463661193847656  1280
  558       66.744689941406250  1280
  559       67.025718688964844  1280
  560       67.306739807128906  1280
  561       67.587776184082031  1280
  562       67.868812561035156  1280
  563       68.149841308593750  1280
  564       68.430862426757812  1280
  565       68.711891174316406  1280
  566       68.992919921875000  1280
  567       69.273963928222656  1280
  568       69.554985046386719  1280
  569       69.836013793945312  1280
  570       70.117034912109375  1280
  571       70.398078918457031  1280
  572       70.679100036621094  1280
  573       70.960128784179688  1280
  574       71.241165161132812  1280
  575       71.522193908691406  1280
  576       71.803222656250000  1280
  577       72.084251403808594  1280
  578       72.365280151367188  1280
  579       72.646301269531250  1280
  580       72.927330017089844  1280
  581       73.208358764648438  1280
  582       73.489395141601562  1280
  583       73.770431518554688  1280
  584       74.051460266113281  1280
  585       74.332489013671875  1280
  586       74.613525390625000  1280
  587       74.894546508789062  1280
  588       75.175575256347656  1280
  589       75.456596374511719  1280
  590       75.737632751464844  1280
  591       76.018653869628906  1280
  592       76.299682617187500  1280
  593       76.580718994140625  1280
  594       76.861747741699219  1280
  595       77.142776489257812  1280
  596       77.423812866210938  1280
  597       77.704826354980469  1280
  598       77.985862731933594  1280
  599       78.266883850097656  1280
  600       78.547912597656250  1280
  601       78.828941345214844  1280
  602       79.109977722167969  1280
  603       79.390998840332031  1280
  604       79.672035217285156  1280
  605       79.953056335449219  1280
  606       80.234077453613281  1280
  607       80.515121459960938  1280
  608       80.796150207519531  1280
  609       81.077178955078125  1280
  610       81.358200073242188  1280
  611       81.639228820800781  1280
  612       81.920242309570312  1280
  613       82.201271057128906  1280
  614       82.482292175292969  1280
  615       82.763313293457031  1280
  616       83.044349670410156  1280
  617       83.325378417968750  1280
  618       83.606399536132812  1280
  619       83.887428283691406  1280
  620       84.168426513671875  1280
  621       84.449455261230469  1280
  622       84.730499267578125  1280
  623       85.011497497558594  1280
  624       85.292510986328125  1280
  625       85.573532104492188  1280
  626       85.854560852050781  1280
  627       86.135574340820312  1280
  628       86.416564941406250  1280
  629       86.697608947753906  1280
  630       86.978576660156250  1280
  631       87.259613037109375  1280
  632       87.540580749511719  1280
  633       87.821556091308594  1280
  634       88.102554321289062  1280
  635       88.383468627929688  1280
  636       88.664398193359375  1280
  637       88.945190429687500  1280
  638       89.225944519042969  1280
  639       89.506233215332031  1280
  640       89.785102844238281  1280

       ****sample code to read nogaps info data *********
      read(10,'(a80)')
      read(10,'(4i10)') numlons,numlats,numlevs,numlxy
      read(10,'(a80)')
      read(10,'(i5,2f20.15)') (kx,asig(k),bsig(k),k=1,numlevs+1)
      read(10,'(a80)')
      read(10,'(i5,5x,f20.15,i6)') (jx,alat(j),lix(j),j=1,numlats)
